match_id,prob,prob_min,prob_max,model
12202,0.46449,0.26422,0.66476,of_pk
12203,0.445095,0.2072,0.68299,of_pk
12204,0.432845,0.23324,0.63245,of_pk
12205,0.48698,0.30223,0.67173,of_pk
12206,0.43206500000000003,0.22782,0.63631,of_pk
12207,0.45093500000000003,0.22782,0.67405,of_pk
12208,0.41495499999999996,0.22737,0.60254,of_pk
12209,0.49123,0.28489,0.69757,of_pk
12210,0.189055,0.06218,0.31593,of_pk
12211,0.33924499999999996,0.15218,0.52631,of_pk
12212,0.5089049999999999,0.33504,0.68277,of_pk
12213,0.42227000000000003,0.24135,0.60319,of_pk
12214,0.4924,0.24795,0.73685,of_pk
12215,0.45677,0.27929,0.63425,of_pk
12216,0.35436,0.16209,0.54663,of_pk
12217,0.5498,0.34537,0.75423,of_pk
12218,0.40151,0.18406,0.61896,of_pk
12219,0.40441,0.21606,0.59276,of_pk
12220,0.6237250000000001,0.4303,0.81715,of_pk
12221,0.53007,0.33096,0.72918,of_pk
12222,0.44276499999999996,0.2283,0.65723,of_pk
12223,0.489615,0.29989,0.67934,of_pk
12224,0.57836,0.38582,0.7709,of_pk
12225,0.466045,0.21802,0.71407,of_pk
12226,0.4185,0.19277,0.64423,of_pk
12227,0.48722,0.29905,0.67539,of_pk
12228,0.45216,0.24711,0.65721,of_pk
12229,0.433475,0.2456,0.62135,of_pk
12230,0.412685,0.21484,0.61053,of_pk
12231,0.267555,0.08959,0.44552,of_pk
12232,0.424605,0.25363,0.59558,of_pk
12233,0.38053000000000003,0.1891,0.57196,of_pk
12234,0.534985,0.32398,0.74599,of_pk
12235,0.510515,0.32765,0.69338,of_pk
12236,0.439065,0.24871,0.62942,of_pk
12237,0.45704999999999996,0.26938,0.64472,of_pk
12238,0.48354,0.24056,0.72652,of_pk
12239,0.43024,0.24014,0.62034,of_pk
12240,0.5496300000000001,0.33702,0.76224,of_pk
12241,0.407525,0.21293,0.60212,of_pk
12242,0.41703,0.22885,0.60521,of_pk
12243,0.7284999999999999,0.59554,0.86146,of_pk
12244,0.386505,0.18089,0.59212,of_pk
12245,0.47014,0.25941,0.68087,of_pk
12246,0.436845,0.21939,0.6543,of_pk
12247,0.47023,0.21344,0.72702,of_pk
12248,0.31562,0.14784,0.4834,of_pk
12249,0.49731000000000003,0.31154,0.68308,of_pk
12250,0.460505,0.26056,0.66045,of_pk
12251,0.46184000000000003,0.23838,0.6853,of_pk
12252,0.38858000000000004,0.21289,0.56427,of_pk
12253,0.48448,0.27948,0.68948,of_pk
12254,0.214425,0.07104,0.35781,of_pk
12255,0.585365,0.38401,0.78672,of_pk
12256,0.55854,0.35921,0.75787,of_pk
12257,0.6781,0.50741,0.84879,of_pk
12258,0.47516499999999995,0.29183,0.6585,of_pk
12259,0.40055,0.20457,0.59653,of_pk
12260,0.543605,0.34646,0.74075,of_pk
12261,0.480545,0.25749,0.7036,of_pk
12262,0.38017500000000004,0.19047,0.56988,of_pk
12263,0.42258999999999997,0.24464,0.60054,of_pk
12264,0.44571500000000003,0.23916,0.65227,of_pk
12265,0.43365499999999996,0.23098,0.63633,of_pk
12266,0.40608,0.1959,0.61626,of_pk
12267,0.553365,0.35566,0.75107,of_pk
12268,0.42266,0.20707,0.63825,of_pk
12269,0.38918,0.17218,0.60618,of_pk
12270,0.277015,0.10646,0.44757,of_pk
12271,0.42208500000000004,0.23579,0.60838,of_pk
12272,0.5092,0.28962,0.72878,of_pk
12273,0.520605,0.35344,0.68777,of_pk
12274,0.309665,0.14068,0.47865,of_pk
