match_id,away_prob,away_prob_min,away_prob_max,model
12157,0.52101,0.33627,0.70575,of_pk
12158,0.52788,0.33431,0.72145,of_pk
12159,0.5398499999999999,0.30691,0.77279,of_pk
12160,0.548325,0.3514,0.74525,of_pk
12161,0.538915,0.3318,0.74603,of_pk
12162,0.540735,0.31045,0.77102,of_pk
12163,0.6573100000000001,0.48332,0.8313,of_pk
12164,0.601285,0.41595,0.78662,of_pk
12165,0.60802,0.40832,0.80772,of_pk
12166,0.5062,0.29903,0.71337,of_pk
12167,0.521745,0.33725,0.70624,of_pk
12168,0.28982,0.14013,0.43951,of_pk
12169,0.53302,0.33537,0.73067,of_pk
12170,0.491475,0.27412,0.70883,of_pk
12171,0.57969,0.38069,0.77869,of_pk
12172,0.415995,0.23115,0.60084,of_pk
12173,0.5861000000000001,0.40572,0.76648,of_pk
12174,0.484655,0.27745,0.69186,of_pk
12175,0.647695,0.4541,0.84129,of_pk
12176,0.46382,0.28561,0.64203,of_pk
12177,0.47905,0.28567,0.67243,of_pk
12178,0.589675,0.37578,0.80357,of_pk
12179,0.556165,0.37367,0.73866,of_pk
12180,0.48895500000000003,0.2893,0.68861,of_pk
12181,0.538285,0.35389,0.72268,of_pk
12182,0.743195,0.56977,0.91662,of_pk
12183,0.415035,0.14462,0.68545,of_pk
12184,0.524055,0.33964,0.70847,of_pk
12185,0.520905,0.33453,0.70728,of_pk
12186,0.569195,0.33762,0.80077,of_pk
12187,0.48097500000000004,0.31319,0.64876,of_pk
12188,0.58675,0.36901,0.80449,of_pk
12189,0.45459,0.27801,0.63117,of_pk
12190,0.524895,0.30626,0.74353,of_pk
12191,0.37998,0.18449,0.57547,of_pk
12192,0.528385,0.3437,0.71307,of_pk
12193,0.58656,0.4064,0.76672,of_pk
12194,0.619885,0.43475,0.80502,of_pk
12195,0.44065,0.25346,0.62784,of_pk
12196,0.39675,0.19121,0.60229,of_pk
12197,0.566635,0.37803,0.75524,of_pk
12198,0.43294,0.25271,0.61317,of_pk
12199,0.52318,0.31027,0.73609,of_pk
12200,0.5235650000000001,0.33527,0.71186,of_pk
12201,0.588115,0.37935,0.79688,of_pk
12202,0.535475,0.3352,0.73575,of_pk
12203,0.554875,0.31698,0.79277,of_pk
12204,0.56712,0.36752,0.76672,of_pk
12205,0.51298,0.32823,0.69773,of_pk
12206,0.567905,0.36366,0.77215,of_pk
